condition,probe_type,scan_id,element_id,frequency_mhz,pitch_x_mm,pitch_y_mm,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,element_x,element_y,element_z,distance_mm,delay_us
A_PA1_to_C1,1D,0,1,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-132.0680236233164,130.9551880306699,-62.16302418528666,16.835318094900973,3.8603255624873087
A_PA1_to_C1,1D,0,2,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-131.70696338955406,131.40491918998148,-62.328485334623004,17.064179063322108,3.789470773502437
A_PA1_to_C1,1D,0,3,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-131.34590315579172,131.8546503492931,-62.49394648395935,17.310819704847653,3.7131114417607822
A_PA1_to_C1,1D,0,4,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-130.98484292202937,132.30438150860473,-62.65940763329569,17.574491474929307,3.6314793148005178
A_PA1_to_C1,1D,0,5,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-130.623782688267,132.75411266791636,-62.82486878263204,17.854439849824008,3.5448079913037063
A_PA1_to_C1,1D,0,6,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-130.26272245450465,133.20384382722798,-62.99032993196838,18.14991168296983,3.453330643580542
A_PA1_to_C1,1D,0,7,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-129.9016622207423,133.65357498653958,-63.15579108130473,18.460161587814586,3.3572780414614227
A_PA1_to_C1,1D,0,8,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-129.54060198697996,134.1033061458512,-63.32125223064107,18.784457341026553,3.2568768794762937
A_PA1_to_C1,1D,0,9,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-129.17954175321762,134.55303730516283,-63.48671337997742,19.122084335800515,3.1523483981221254
A_PA1_to_C1,1D,0,10,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-128.81848151945528,135.00276846447446,-63.65217452931376,19.472349141644123,3.043907281761875
