condition,probe_type,scan_id,element_id,frequency_mhz,pitch_x_mm,pitch_y_mm,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,element_x,element_y,element_z,distance_mm,delay_us
A_PA1_to_C1,2D,0,1,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-127.08978800482582,135.22626439852164,-65.79965405190354,20.699207625896012,0.9072887492685533
A_PA1_to_C1,2D,0,2,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.72872777106348,135.67599555783323,-65.96511520123988,21.09159709667743,0.7858059409770926
A_PA1_to_C1,2D,0,3,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.36766753730112,136.12572671714486,-66.13057635057623,21.493574384852625,0.6613547681674348
A_PA1_to_C1,2D,0,4,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.00660730353877,136.57545787645648,-66.29603749991257,21.904611651107032,0.5340986485840267
A_PA1_to_C1,2D,0,5,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.64554706977643,137.0251890357681,-66.46149864924892,22.32420845930344,0.40419251601548023
A_PA1_to_C1,2D,0,6,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.28448683601408,137.47492019507973,-66.62695979858526,22.75189124189583,0.27178298580111715
A_PA1_to_C1,2D,0,7,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-124.92342660225172,137.92465135439136,-66.79242094792161,23.187212571408352,0.13700858037928398
A_PA1_to_C1,2D,0,8,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-124.56236636848938,138.37438251370295,-66.95788209725795,23.62975028603344,0.0
A_PA1_to_C1,2D,0,9,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-127.27422023720936,135.54789226820384,-65.32791231630905,20.646965790157935,0.9234626922215181
A_PA1_to_C1,2D,0,10,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.91316000344702,135.99762342751544,-65.49337346564539,21.040329562261427,0.8016782426538738
A_PA1_to_C1,2D,0,11,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.55209976968466,136.44735458682706,-65.65883461498174,21.443267937448187,0.676929519685836
A_PA1_to_C1,2D,0,12,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.19103953592231,136.89708574613869,-65.82429576431808,21.855251350323435,0.5493804754520131
A_PA1_to_C1,2D,0,13,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.82997930215997,137.3468169054503,-65.98975691365443,22.275777951273344,0.41918648134987446
A_PA1_to_C1,2D,0,14,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.46891906839762,137.79654806476194,-66.15521806299077,22.704373038757456,0.2864945038006139
A_PA1_to_C1,2D,0,15,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.10785883463527,138.24627922407356,-66.32067921232712,23.14058829916988,0.15144333958624046
A_PA1_to_C1,2D,0,16,5.0,0.6,0.6,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-124.74679860087292,138.69601038338516,-66.48614036166346,23.58400090273696,0.014163895757423717
