condition,probe_type,scan_id,element_id,frequency_mhz,pitch_x_mm,pitch_y_mm,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,element_x,element_y,element_z,distance_mm,delay_us
B_PA2_to_C2,1D,0,1,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-119.57730359109846,142.06091238151558,-68.95262374231895,26.08350635488572,3.1356970684641166
B_PA2_to_C2,1D,0,2,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-119.04612845618888,142.16861784077264,-69.21001937184676,26.26599306556851,3.079199634816195
B_PA2_to_C2,1D,0,3,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-118.5149533212793,142.2763233000297,-69.46741500137456,26.460829156993967,3.0188788634770436
B_PA2_to_C2,1D,0,4,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-117.98377818636972,142.38402875928676,-69.72481063090238,26.667743954649623,2.954818554605323
B_PA2_to_C2,1D,0,5,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-117.45260305146014,142.4917342185438,-69.98220626043019,26.886458591377956,2.8871050447823094
B_PA2_to_C2,1D,0,6,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-116.92142791655057,142.59943967780086,-70.239601889958,27.116687547357444,2.8158267302375766
B_PA2_to_C2,1D,0,7,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-116.39025278164098,142.70714513705792,-70.4969975194858,27.35814013225569,2.7410736079780573
B_PA2_to_C2,1D,0,8,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-115.85907764673141,142.81485059631498,-70.75439314901362,27.61052189748084,2.6629368385585064
B_PA2_to_C2,1D,0,9,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-115.32790251182183,142.92255605557204,-71.01178877854143,27.87353596884324,2.5815083334927493
B_PA2_to_C2,1D,0,10,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-114.79672737691226,143.0302615148291,-71.26918440806924,28.146884292253855,2.496880369588533
B_PA2_to_C2,1D,0,11,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-114.26555224200267,143.13796697408617,-71.52658003759704,28.43026878727417,2.4091452318113458
B_PA2_to_C2,1D,0,12,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-113.7343771070931,143.24567243334323,-71.78397566712485,28.723392405351163,2.3183948856574776
B_PA2_to_C2,1D,0,13,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-113.20320197218352,143.3533778926003,-72.04137129665267,29.025960091389127,2.2247206794537746
B_PA2_to_C2,1D,0,14,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.67202683727395,143.46108335185735,-72.29876692618048,29.337679648909578,2.128213076506267
B_PA2_to_C2,1D,0,15,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.14085170236436,143.56878881111442,-72.55616255570828,29.65826251042317,2.028961416594937
B_PA2_to_C2,1D,0,16,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.60967656745478,143.67649427037148,-72.81355818523609,29.987424415783046,1.9270537059572046
B_PA2_to_C2,1D,0,17,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.07850143254521,143.7841997296285,-73.07095381476391,30.324886002216587,1.8225764346155504
B_PA2_to_C2,1D,0,18,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.54732629763564,143.89190518888557,-73.32834944429172,30.67037331045321,1.7156144196816125
B_PA2_to_C2,1D,0,19,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.01615116272605,143.99961064814264,-73.58574507381952,31.023618211899297,1.606250673103876
