condition,probe_type,scan_id,element_id,frequency_mhz,pitch_x_mm,pitch_y_mm,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,element_x,element_y,element_z,distance_mm,delay_us
B_PA2_to_C2,2D,0,1,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.25052627941523,142.2273451798466,-70.54656048781531,29.10182742074652,0.7283934376763028
B_PA2_to_C2,2D,0,2,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.71935114450565,142.33505063910366,-70.80395611734312,29.412742938767934,0.6321347633662686
B_PA2_to_C2,2D,0,3,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.18817600959606,142.44275609836072,-71.06135174687093,29.732516461563964,0.5331336727173426
B_PA2_to_C2,2D,0,4,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.65700087468649,142.55046155761778,-71.31874737639873,30.060865308442157,0.4314776829717708
B_PA2_to_C2,2D,0,5,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.12582573977691,142.6581670168748,-71.57614300592655,30.39751159301418,0.3272528270671202
B_PA2_to_C2,2D,0,6,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.59465060486734,142.76587247613188,-71.83353863545436,30.742182729965034,0.22054349674177942
B_PA2_to_C2,2D,0,7,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.06347546995775,142.87357793538894,-72.09093426498217,31.09461186375687,0.11143230980932195
B_PA2_to_C2,2D,0,8,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-108.53230033504818,142.981283394646,-72.34832989450997,31.454538224440977,0.0
B_PA2_to_C2,2D,0,9,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.52271933449188,142.54906881206193,-70.97364929034028,29.064692656673913,0.7398902686585345
B_PA2_to_C2,2D,0,10,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.99154419958231,142.656774271319,-71.23104491986808,29.376001211567978,0.643509911106193
B_PA2_to_C2,2D,0,11,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.46036906467272,142.76447973057606,-71.48844054939589,29.696170378302526,0.5443863300738254
B_PA2_to_C2,2D,0,12,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.92919392976314,142.87218518983312,-71.7458361789237,30.024916704169247,0.44260728181787456
B_PA2_to_C2,2D,0,13,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.39801879485357,142.97989064909015,-72.00323180845152,30.361961581021603,0.3382590227304565
B_PA2_to_C2,2D,0,14,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.866843659944,143.0875961083472,-72.26062743797932,30.707031751743127,0.23142615253803456
B_PA2_to_C2,2D,0,15,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.33566852503441,143.19530156760428,-72.51802306750713,31.059859738216623,0.12219148180320616
B_PA2_to_C2,2D,0,16,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-108.80449339012483,143.30300702686134,-72.77541869703494,31.420184196035816,0.010635922106862594
B_PA2_to_C2,2D,0,17,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.79491238956854,142.87079244427727,-71.40073809286523,29.039909766163433,0.7475629901788068
B_PA2_to_C2,2D,0,18,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.26373725465896,142.97849790353433,-71.65813372239303,29.35148117526683,0.6511012536142875
B_PA2_to_C2,2D,0,19,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.73256211974937,143.0862033627914,-71.91552935192084,29.67191492197921,0.5518957592760891
B_PA2_to_C2,2D,0,20,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.2013869848398,143.19390882204846,-72.17292498144865,30.000927037215053,0.45003442328976107
B_PA2_to_C2,2D,0,21,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.67021184993023,143.3016142813055,-72.43032061097647,30.338238430196167,0.3456036514689824
B_PA2_to_C2,2D,0,22,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.13903671502065,143.40931974056255,-72.68771624050427,30.683575394705233,0.23868818258072722
B_PA2_to_C2,2D,0,23,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.60786158011106,143.5170251998196,-72.94511187003208,31.03667003655015,0.1293709560033527
B_PA2_to_C2,2D,0,24,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.07668644520149,143.62473065907668,-73.20250749955989,31.39726062752639,0.017733002140740695
B_PA2_to_C2,2D,0,25,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-113.0671054446452,143.1925160764926,-71.82782689539019,29.027510386302758,0.7514018074731332
B_PA2_to_C2,2D,0,26,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.53593030973562,143.30022153574967,-72.085222524918,29.339213472450883,0.6548993040217024
B_PA2_to_C2,2D,0,27,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.00475517482603,143.40792699500673,-72.3426181544458,29.659779755371964,0.5556527768015531
B_PA2_to_C2,2D,0,28,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.47358003991646,143.5156324542638,-72.60001378397361,29.98892500728063,0.45375022203106674
B_PA2_to_C2,2D,0,29,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.94240490500688,143.62333791352083,-72.85740941350143,30.326369895644152,0.34927812037053485
B_PA2_to_C2,2D,0,30,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.41122977009731,143.7310433727779,-73.11480504302924,30.671840489324417,0.24232128022184618
