condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_amplitude,edm_response,beam_dB,edm_response_dB
A_PA1_to_C1,0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,0.351972177766888,0.351972177766888,-8.242982045704576,-8.242982045704576
A_PA1_to_C1,1,-148.46207204866772,151.96678324749905,-91.53103465,-123.18049367645828,121.3302084076179,-51.8,0.3568330635385154,0.3568330635385154,-8.123846980659167,-8.123846980659167
A_PA1_to_C1,2,-147.01213427876158,152.65079213391363,-90.99525989,-122.11948218486496,122.39911263698372,-51.8,0.3617484680349444,0.3617484680349444,-8.005014739528377,-8.005014739528377
A_PA1_to_C1,3,-145.55818013084513,153.32952804921314,-90.46755184,-121.04708600941288,123.45658981264891,-51.8,0.3667177881372788,0.3667177881372788,-7.886509221502145,-7.886509221502145
A_PA1_to_C1,4,-144.10015474514572,154.00296279815666,-89.94785963999999,-119.96618267894802,124.505387103595,-51.8,0.37176016915934545,0.37176016915934545,-7.767891609943752,-7.767891609943752
A_PA1_to_C1,5,-142.641845663311,154.6708453935059,-89.42429788999998,-118.88008230961648,125.54874606153744,-51.8,0.37694673163425646,0.37694673163425646,-7.647549110484557,-7.647549110484557
A_PA1_to_C1,6,-141.1848019404851,155.33016413635335,-88.91734501,-117.78134730947552,126.57884134262476,-51.8,0.38212989941763215,0.38212989941763215,-7.52892835149137,-7.52892835149137
A_PA1_to_C1,7,-139.71823348336846,155.98731927370824,-88.40964599,-116.67484857184644,127.6005710161018,-51.8,0.38744192305449443,0.38744192305449443,-7.409016518651107,-7.409016518651107
A_PA1_to_C1,8,-138.2474612045755,156.63905180031753,-87.90979411999999,-115.55750226495442,128.6104265437551,-51.8,0.39281025132684194,0.39281025132684194,-7.289492487233113,-7.289492487233113
A_PA1_to_C1,9,-136.77242656157046,157.2853317167316,-87.41773505,-114.43222507492268,129.61145779078277,-51.8,0.39825817340813696,0.39825817340813696,-7.169854800800275,-7.169854800800275
A_PA1_to_C1,10,-135.3024148437535,157.92281289642793,-86.93037713999999,-113.3016834944249,130.60654183979702,-51.8,0.4038079851276665,0.4038079851276665,-7.049650698089666,-7.049650698089666
A_PA1_to_C1,11,-133.82283953829096,158.5578860389059,-86.44206371999998,-112.15856751978896,131.58710612802994,-51.8,0.409452302396774,0.409452302396774,-6.9290824007662435,-6.9290824007662435
A_PA1_to_C1,12,-132.34412773399032,159.18438922350688,-85.97012664,-111.00774198986298,132.5586618418747,-51.8,0.4151220462804846,0.4151220462804846,-6.809632782034259,-6.809632782034259
A_PA1_to_C1,13,-130.85578320019675,159.80836126241908,-85.49710414,-109.85149267437232,133.52375610468974,-51.8,0.4209554425333917,0.4209554425333917,-6.688426173926551,-6.688426173926551
A_PA1_to_C1,14,-129.37242074802603,160.42351648234117,-85.02872378,-108.68080939579498,134.471273148349,-51.8,0.42680230650299134,0.42680230650299134,-6.568613596626679,-6.568613596626679
A_PA1_to_C1,15,-127.8897016242282,161.03015370306392,-84.5766318,-107.50455468503364,135.4118845740274,-51.8,0.4326888581401949,0.4326888581401949,-6.449634508885767,-6.449634508885767
A_PA1_to_C1,16,-126.39729447280996,161.63412806146707,-84.12331700999998,-106.32316097395022,136.3460194255881,-51.8,0.43874798739861115,0.43874798739861115,-6.328846005519658,-6.328846005519658
A_PA1_to_C1,17,-124.8952239172675,162.2353138984563,-83.66869663999998,-105.13091956980664,137.2662663979146,-51.8,0.4449214420929416,0.4449214420929416,-6.20748202763065,-6.20748202763065
A_PA1_to_C1,18,-123.40312057148914,162.82482513737204,-83.22740508999999,-103.9289614713292,138.17378085317122,-51.8,0.4510810157528992,0.4510810157528992,-6.088057757334575,-6.088057757334575
A_PA1_to_C1,19,-121.90633193582056,163.4086707967418,-82.79349334,-102.72024413796868,139.07229639301443,-51.8,0.45733014528695015,0.45733014528695015,-5.968552167703633,-5.968552167703633
A_PA1_to_C1,20,-120.40479024007128,163.98681603386112,-82.36689882,-101.50623977262364,139.96358191793738,-51.8,0.46368853192270626,0.46368853192270626,-5.848621652970931,-5.848621652970931
A_PA1_to_C1,21,-118.90312329828164,164.55897120733982,-81.9360958,-100.2819634722582,140.840773871955,-51.8,0.47015955441281804,0.47015955441281804,-5.728243429438949,-5.728243429438949
A_PA1_to_C1,22,-117.40157993724831,165.12263995325603,-81.52131262,-99.0531156252312,141.7115446465763,-51.8,0.47667448353858044,0.47667448353858044,-5.6087106577164665,-5.6087106577164665
A_PA1_to_C1,23,-115.89026747389566,165.6832415368084,-81.10493361,-97.8140229190828,142.56760508096949,-51.8,0.4833085375675672,0.4833085375675672,-5.488659412662537,-5.488659412662537
A_PA1_to_C1,24,-114.38374866471656,166.23508939740233,-80.6930734,-96.56919061106257,143.41537880798327,-51.8,0.4900380413489012,0.4900380413489012,-5.368552844675115,-5.368552844675115
A_PA1_to_C1,25,-112.87708954377928,166.7784937043893,-80.29712085999998,-95.31611782598392,144.25087126756995,-51.8,0.49675009496035993,0.49675009496035993,-5.250389575578476,-5.250389575578476
