config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_sum,beam_mean,beam_max,beam_db,beam_percent
1D16,B_PA2_to_C2,0,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,4.478622120205992,0.2799138825128745,0.8442311793962731,-9.624382474619255,33.02028947867821
1D16,B_PA2_to_C2,1,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,4.5807698927057885,0.2862981182941118,0.8447248375199261,-9.428501364766692,33.77341151644242
1D16,B_PA2_to_C2,2,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,4.68816640832416,0.29301040052026,0.8451973920497624,-9.227210515379326,34.56523184410983
1D16,B_PA2_to_C2,3,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,4.797979718449028,0.29987373240306425,0.8456308705019902,-9.026102733576044,35.3748708785297
1D16,B_PA2_to_C2,4,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,4.909727556412818,0.30685797227580114,0.8460233062737256,-8.826123019292897,36.19877293124654
1D16,B_PA2_to_C2,5,-106.5248704079047,144.69156262453677,-75.23605239698662,-118.39,165.27,-51.8,5.021919831290959,0.31386998945568495,0.8463741077037527,-8.629875380934783,37.02595175864385
1D16,B_PA2_to_C2,6,-105.55560598576687,144.8800661623952,-75.684866540274,-117.29,166.06,-51.8,5.13813070083449,0.32113316880215564,0.8467028271917052,-8.431167942029013,37.882759153843296
1D16,B_PA2_to_C2,7,-104.58453988214106,145.06729927392988,-76.1303048784166,-116.18,166.83,-51.8,5.255591550613239,0.32847447191332746,0.8470027912398002,-8.234838775122384,38.74878248825389
1D16,B_PA2_to_C2,8,-103.61167478761368,145.25325172348178,-76.57234104120653,-115.07,167.6,-51.8,5.375011820010132,0.3359382387506332,0.8472758933473094,-8.039682417520517,39.629252364762635
1D16,B_PA2_to_C2,9,-102.63701375124135,145.4379140468565,-77.01094843943008,-113.95,168.36,-51.8,5.497297696440993,0.3435811060275621,0.8475296668488145,-7.844285769092809,40.530849983522046
1D16,B_PA2_to_C2,10,-101.6605600506468,145.62127561992435,-77.4461008038966,-112.83,169.12,-51.8,5.621551407840231,0.35134696299001444,0.8477610020746205,-7.650147159248513,41.446956189645604
1D16,B_PA2_to_C2,11,-100.68231730915193,145.80332558276277,-77.877772044352,-111.7,169.86,-51.8,5.747267450003284,0.35920421562520527,0.8479738109584924,-7.458042738813697,42.37384396738623
1D16,B_PA2_to_C2,12,-99.70228929415876,145.98405451638737,-78.30593509369717,-110.57,170.6,-51.8,5.874931941595136,0.367183246349696,0.8481682467621936,-7.267214092754433,43.31509740546761
1D16,B_PA2_to_C2,13,-98.7204801590521,146.16345228221533,-78.73056335422048,-109.43,171.33,-51.8,6.005720428100018,0.3753575267562511,0.8483499853813804,-7.07596865975807,44.279383645511174
1D16,B_PA2_to_C2,14,-97.73689414441262,146.34150742262747,-79.15163026818743,-108.29,172.06,-51.8,6.138430455411257,0.38365190346320355,0.848516016882073,-6.886124091726381,45.257837152175604
1D16,B_PA2_to_C2,15,-96.75153606554488,146.5182102967413,-79.56910911524014,-107.15,172.77,-51.8,6.2697568019101135,0.3918598001193821,0.8486640643028196,-6.702256984654097,46.22608896292895
1D16,B_PA2_to_C2,16,-95.76441098545337,146.6935506411538,-79.98297329248382,-106.0,173.48,-51.8,6.405884535379264,0.400367783461204,0.8488047627641674,-6.5156887633763505,47.229740765778736
1D16,B_PA2_to_C2,17,-94.7755246978455,146.8675188399196,-80.39319692783319,-104.84,174.18,-51.8,6.545338946449857,0.4090836841531161,0.848936562704266,-6.328628067181014,48.257919723287614
1D16,B_PA2_to_C2,18,-93.78488196301028,147.04010262552612,-80.79975203414823,-103.68,174.88,-51.8,6.6868728948987926,0.41792955593117453,0.8490571719195209,-6.142809527295673,49.30143083527872
1D16,B_PA2_to_C2,19,-92.792435537956,147.21124955115144,-81.20249796185014,-102.52,175.56,-51.8,6.826919333530544,0.426682458345659,0.8491648070027796,-5.962775464457261,50.33397473381726
1D16,B_PA2_to_C2,20,-91.79822993559468,147.38097891626882,-81.6014867311795,-101.35,176.24,-51.8,6.971637538861447,0.43572734617884046,0.849266469068126,-5.780574896155647,51.40096295130979
1D16,B_PA2_to_C2,21,-90.80229103355435,147.54929578769315,-81.9967325985091,-100.17,176.91,-51.8,7.119686017356642,0.44498037608479013,0.8493612779661577,-5.598054062173478,52.492504833071486
1D16,B_PA2_to_C2,22,-89.80462601702506,147.71619055711744,-82.38820952039464,-98.99,177.57,-51.8,7.267640971799883,0.4542275607374927,0.8494463237122002,-5.419401597826474,53.58335717434821
1D16,B_PA2_to_C2,23,-88.80524149658001,147.88165129826228,-82.77589017906962,-97.81,178.22,-51.8,7.415358174137453,0.4634598858835908,0.8495225326232522,-5.244628229804333,54.67245660074561
1D16,B_PA2_to_C2,24,-87.80414478986354,148.0456683441914,-83.15974727592672,-96.62,178.87,-51.8,7.568073473338883,0.4730045920836802,0.8495940258602608,-5.067564096397246,55.79840633530867
1D16,B_PA2_to_C2,25,-86.8013441490417,148.20823110062227,-83.53975553399744,-95.43,179.51,-51.8,7.72038187938627,0.4825238674616419,0.849657577665704,-4.894495235741166,56.92135610037825
1D16,B_PA2_to_C2,26,-85.79684713155581,148.36932931117394,-83.91588687010773,-94.24,180.14,-51.8,7.8721392243550365,0.4920087015221898,0.849713900341935,-4.725415564214756,58.040242964884214
1D16,B_PA2_to_C2,27,-84.79066219213736,148.52895259434032,-84.28811479164705,-93.04,180.76,-51.8,8.027131371990649,0.5016957107494155,0.8497655426255115,-4.5560634762223104,59.18297960228879
1D16,B_PA2_to_C2,28,-83.78279833852454,148.68709051038687,-84.65641348019483,-91.83,181.38,-51.8,8.186974602793924,0.5116859126746203,0.8498127918869813,-4.384802027227385,60.3614826352905
1D16,B_PA2_to_C2,29,-82.7732644843618,148.84373269838642,-85.0207559726652,-90.63,181.98,-51.8,8.340385946510658,0.5212741216569161,0.8498517664391544,-4.223547933598238,61.49256421415041
1D16,B_PA2_to_C2,30,-81.76207001190437,148.99886944655137,-85.38111544941161,-89.40999999999998,182.58,-51.8,8.502522142613028,0.5314076339133142,0.8498881354295553,-4.056315457875307,62.68797297751038
1D16,B_PA2_to_C2,31,-80.74922459345133,149.15248953395547,-85.73746566339398,-88.2,183.17,-51.8,8.659468669731746,0.5412167918582341,0.8499175284778675,-3.8974459848632232,63.84511899676304
1D16,B_PA2_to_C2,32,-79.73473816719762,149.3045824755824,-86.08977990629651,-86.98,183.75,-51.8,8.81932145682416,0.55120759105151,0.8499427509844868,-3.7385674389678956,65.02369248702263
1D16,B_PA2_to_C2,33,-78.71862135234821,149.4551382571482,-86.4380323272578,-85.76,184.33,-51.8,8.979319266692343,0.5612074541682714,0.8499630544499723,-3.5824026198851513,66.20333521105735
1D16,B_PA2_to_C2,34,-77.70088469592274,149.6041466734858,-86.78219602640094,-84.53,184.89,-51.8,9.140541943942567,0.5712838714964105,0.8499790294033852,-3.4278319726548494,67.39200872055297
1D16,B_PA2_to_C2,35,-76.68153940290324,149.75159744535128,-87.12224516612058,-83.29999999999998,185.45,-51.8,9.301601744560099,0.5813501090350062,0.8499903585547822,-3.276116071913667,68.57948136214401
1D16,B_PA2_to_C2,36,-75.66059697847993,149.8974803307656,-87.45815384885604,-82.06,186.0,-51.8,9.465125710660331,0.5915703569162707,0.8499974159487294,-3.1247431621137296,69.78512197043959
1D16,B_PA2_to_C2,37,-74.63806924818577,150.0417851248658,-87.7898962109968,-80.81999999999998,186.54,-51.8,9.626720024405412,0.6016700015253382,0.8499999798198998,-2.977704063428095,70.97653550673621
1D16,B_PA2_to_C2,38,-73.61396815521526,150.18450169084596,-88.11744574553933,-79.58,187.08,-51.8,9.78757773973104,0.61172360873319,0.8499983054937279,-2.833766399192065,72.16251820015594
1D16,B_PA2_to_C2,39,-72.58830630330328,150.32561996117698,-88.44077702518774,-78.34,187.6,-51.8,9.944820603045258,0.6215512876903286,0.8499926638884567,-2.695331826327088,73.32184906704607
1D16,B_PA2_to_C2,40,-71.56109641508871,150.46512977948345,-88.7598640362138,-77.09,188.12,-51.8,10.105236103232434,0.6315772564520271,0.849982771838522,-2.5563415897586457,74.50457136664564
1D16,B_PA2_to_C2,41,-70.53235169037065,150.6030210563669,-89.07468130687656,-75.84,188.63,-51.8,10.263036514686519,0.6414397821679074,0.8499690166450647,-2.421753408614638,75.66801296234533
1D16,B_PA2_to_C2,42,-69.50208597534196,150.73928382249213,-89.3852044178836,-74.58,189.13,-51.8,10.42230622160723,0.6513941388504518,0.8499508580204439,-2.2879943064682235,76.84228747949619
1D16,B_PA2_to_C2,43,-68.47031288272552,150.8739081752133,-89.69140715404404,-73.31999999999998,189.62,-51.8,10.578641660541916,0.6611651037838697,0.8499289356376588,-2.1586727671713435,77.99492802626376
1D16,B_PA2_to_C2,44,-67.43704656234294,151.00688424031952,-89.9932640606525,-72.06,190.1,-51.8,10.731885606117352,0.6707428503823345,0.8499034269888972,-2.0337501947487993,79.12477540073326
1D16,B_PA2_to_C2,45,-66.40230189331929,151.13820215259082,-90.29075113844432,-70.79,190.58,-51.8,10.887084401670384,0.680442775104399,0.8498732067017601,-1.9090390944814064,80.26903562594457
1D16,B_PA2_to_C2,46,-65.36609387181097,151.2678522055928,-90.58384371028332,-69.52,191.04,-51.8,11.037711436127772,0.6898569647579857,0.8498395514786958,-1.7896901717262996,81.37958886031056
1D16,B_PA2_to_C2,47,-64.32843764514975,151.39582463511093,-90.87251660833756,-68.25,191.5,-51.8,11.18575662638972,0.6991097891493575,0.8498023436401603,-1.673963571109283,82.47110649836274
1D16,B_PA2_to_C2,48,-63.28934886231595,151.5221097582287,-91.1567453525607,-66.98,191.95,-51.8,11.329997460334061,0.7081248412708788,0.8497618390718805,-1.5626746398560902,83.53457511966027
1D16,B_PA2_to_C2,49,-62.24884367455399,151.6466974859408,-91.4365064098234,-65.7,192.39,-51.8,11.474167386604755,0.7171354616627972,0.849716473825984,-1.452847267436984,84.59752094804355
1D16,B_PA2_to_C2,50,-61.20693837904393,151.7695790116044,-91.71177513775478,-64.42,192.82,-51.8,11.614166099288084,0.7258853812055053,0.8496677735984737,-1.3475102345907894,85.6297129694667
1D16,B_PA2_to_C2,51,-60.16364981403854,151.89074522038314,-91.98252799904806,-63.14,193.25,-51.8,11.750682983515883,0.7344176864697427,0.8496157044189696,-1.2460086944132065,86.63623392947164
1D16,B_PA2_to_C2,52,-59.118995098258246,152.01018632705112,-92.2487417271654,-61.85,193.66,-51.8,11.885497745626571,0.7428436091016607,0.8495585931544033,-1.146923410086204,87.63020536787674
1D16,B_PA2_to_C2,53,-58.07299161693708,152.12789314608406,-92.5103927357169,-60.56,194.07,-51.8,12.01633635518279,0.7510210221989244,0.8494980496993894,-1.051829362531128,88.59486115855894
1D16,B_PA2_to_C2,54,-57.02565725142257,152.24385640055144,-92.76745833238854,-59.27,194.47,-51.8,12.142275026340371,0.7588921891462732,0.849434285762877,-0.9612695790528352,89.52339035047748
1D16,B_PA2_to_C2,55,-55.97700994133772,152.35806700921157,-93.0199148280702,-57.98,194.86,-51.8,12.263217488545962,0.7664510930341226,0.849367367551645,-0.8751822790005501,90.41508315355527
1D16,B_PA2_to_C2,56,-54.92706831895261,152.47051600784263,-93.26774021710568,-56.68,195.24,-51.8,12.382190341322694,0.7738868963326684,0.8492948667252567,-0.7913213744782119,91.2922542864061
1D16,B_PA2_to_C2,57,-53.87585117730203,152.58119383266,-93.5109122821452,-55.38,195.61,-51.8,12.495752723058448,0.780984545191153,0.8492190976203071,-0.7120224418019483,92.12953473073846
1D16,B_PA2_to_C2,58,-52.82337771589517,152.6900926983506,-93.74940860700194,-54.08,195.98,-51.8,12.60433823431959,0.7877711396449744,0.8491400206375841,-0.6368699132650986,92.93012136627007
1D16,B_PA2_to_C2,59,-51.76966745502341,152.79720389478553,-93.9832074245146,-52.77,196.33,-51.8,12.709513104455251,0.7943445690284532,0.8492955614559649,-0.5646926250905746,93.70556179516747
1D16,B_PA2_to_C2,60,-50.71474037182839,152.90251849194152,-94.21228796453826,-51.47,196.68,-51.8,12.806620751572071,0.8004137969732544,0.8495185445678093,-0.49857991516265787,94.42152365404456
1D16,B_PA2_to_C2,61,-49.65861645459795,153.00602810349906,-94.43662804934596,-50.16,197.01,-51.8,12.89999166377511,0.8062494789859443,0.8497019646878029,-0.4354822971496619,95.10993505984781
1D16,B_PA2_to_C2,62,-48.60131628715884,153.10772344792713,-94.6562074999455,-48.85,197.34,-51.8,12.987672666715241,0.8117295416697026,0.8498410691908718,-0.3766442021088812,95.75639551602285
1D16,B_PA2_to_C2,63,-47.54286080845083,153.20759763587284,-94.8710055284514,-47.54,197.66,-51.8,13.06919533822078,0.8168247086387987,0.8499362448707977,-0.32229390659685,96.35745140775418
1D16,B_PA2_to_C2,64,-46.48327113250459,153.30564221957908,-95.0810017177901,-46.22,197.98,-51.8,13.146746300908992,0.821671643806812,0.8499894195420398,-0.2709052456559311,96.92922441484976
1D16,B_PA2_to_C2,65,-45.4225689014876,153.40184895521443,-95.28617699272677,-44.9,198.28,-51.8,13.217426191259115,0.8260891369536947,0.8499979452526132,-0.22433301220569346,97.45033791293942
