config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,geometry_echo_max,geometry_x,geometry_y,geometry_z,edm_response,born_response,edge_gtd_response,edm_x,edm_y,edm_z,edm_vs_geometry_dB,geometry_echo_dB_norm,edm_response_dB_norm
1D32,B_PA2_to_C2,0,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,0.6865388009999709,-115.7758,125.0995,-56.2,1.046608214870048,0.7611696108145802,0.2854386040554676,-123.81,161.25,-51.8,3.6623810399207968,0.0,0.0
1D32,B_PA2_to_C2,1,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,0.6642750781406724,-114.1715,126.1747,-56.3801,0.8253206493873683,0.7449217252797539,0.08039892410761441,-122.74,162.07,-51.8,1.8854950413033302,-0.286342561180115,-2.0632285597975826
1D32,B_PA2_to_C2,2,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,0.6396805739258967,-117.5499,118.8356,-65.6708,0.7370440414013374,0.729467687878506,0.007576353522831395,-121.66,162.88,-51.8,1.230605548377563,-0.6140385025123806,-3.0458139940556137
1D32,B_PA2_to_C2,3,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,0.6419533444315197,-110.8839,131.7794,-50.0183,0.7169324605377885,0.7147645871372325,0.0021678734005559745,-120.57,163.68,-51.8,0.9594955719756837,-0.5832324288041727,-3.286117896749286
1D32,B_PA2_to_C2,4,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,0.6271348492197215,-83.8452,133.0888,-67.0208,0.7026505169595978,0.7005572948271751,0.0020932221324226593,-119.48,164.48,-51.8,0.9875687077662192,-0.7860830497065299,-3.460895381861108
1D32,B_PA2_to_C2,5,-106.5248704079047,144.69156262453677,-75.23605239698662,-118.39,165.27,-51.8,0.6106147894133741,-108.3607,130.0785,-48.8109,0.6897139485988142,0.68695691313569,0.0027570354631241824,-118.39,165.27,-51.8,1.0580338041249155,-1.0179553656726716,-3.6223026014685535
1D32,B_PA2_to_C2,6,-105.55560598576687,144.8800661623952,-75.684866540274,-117.29,166.06,-51.8,0.5955540510511187,-79.8822,133.8497,-66.9287,0.6771088588023993,0.6738744571016505,0.0032344017007488127,-117.29,166.06,-51.8,1.1147462540155222,-1.2348780817455483,-3.782512867650823
1D32,B_PA2_to_C2,7,-104.58453988214106,145.06729927392988,-76.1303048784166,-116.18,166.83,-51.8,0.5851566151254582,-105.723,135.964,-50.0183,0.6645214700556786,0.6615228366110979,0.0029986334445807512,-116.18,166.83,-51.8,1.1047379620820261,-1.3878593634707668,-3.945502441309539
1D32,B_PA2_to_C2,8,-103.61167478761368,145.25325172348178,-76.57234104120653,-115.07,167.6,-51.8,0.5737809774241902,-104.889,132.9002,-48.8109,0.6512176503403365,0.6495615120070017,0.0016561383333347237,-115.07,167.6,-51.8,1.099600340214381,-1.5583788248717387,-4.1211595245781565
1D32,B_PA2_to_C2,9,-102.63701375124135,145.4379140468565,-77.01094843943008,-113.95,168.36,-51.8,0.5777354737031398,-103.3786,134.0811,-48.8109,0.6397219499122644,0.6381444307374214,0.0015775191748429221,-113.95,168.36,-51.8,0.8852443545960591,-1.4987210522898853,-4.275857737614624
1D32,B_PA2_to_C2,10,-101.6605600506468,145.62127561992435,-77.4461008038966,-112.83,169.12,-51.8,0.5698759936507097,-102.2105,134.657,-48.6119,0.629138299653449,0.6270774354298595,0.002060864223589554,-112.83,169.12,-51.8,0.8593152360345675,-1.61769449515916,-4.420760299045391
1D32,B_PA2_to_C2,11,-100.68231730915193,145.80332558276277,-77.877772044352,-111.7,169.86,-51.8,0.5619959796028134,-101.0753,135.2703,-48.3545,0.6187181044104655,0.6166113599682478,0.0021067444422176885,-111.7,169.86,-51.8,0.8351923087039463,-1.738637569682062,-4.565826300898913
1D32,B_PA2_to_C2,12,-99.70228929415876,145.98405451638737,-78.30593509369717,-110.57,170.6,-51.8,0.5487459208793144,-99.8206,136.0795,-46.8383,0.6086487503962029,0.6064538026990912,0.00219494769711175,-110.57,170.6,-51.8,0.8999085958630414,-1.9458756459175777,-4.708348089975333
1D32,B_PA2_to_C2,13,-98.7204801590521,146.16345228221533,-78.73056335422048,-109.43,171.33,-51.8,0.5336084293595037,-99.0137,140.2813,-49.6183,0.5993492945083317,0.5967380568468773,0.002611237661454438,-109.43,171.33,-51.8,1.0091463397739373,-2.188848114925559,-4.842082815072418
1D32,B_PA2_to_C2,14,-97.73689414441262,146.34150742262747,-79.15163026818743,-108.29,172.06,-51.8,0.5329258387739042,-97.6651,138.2523,-45.9523,0.5904588234123647,0.5872999162642829,0.0031589071480817308,-108.29,172.06,-51.8,0.8904567875649614,-2.1999661961371264,-4.971890448492962
1D32,B_PA2_to_C2,15,-96.75153606554488,146.5182102967413,-79.56910911524014,-107.15,172.77,-51.8,0.5278455739748634,-96.4258,138.6303,-48.3545,0.5818281943321937,0.5783243017854951,0.0035038925466985412,-107.15,172.77,-51.8,0.8457575644953421,-2.283164058037431,-5.0997875334628855
1D32,B_PA2_to_C2,16,-95.76441098545337,146.6935506411538,-79.98297329248382,-106.0,173.48,-51.8,0.5213517071294879,-95.3082,139.2547,-48.056,0.5733678007062986,0.569632655268875,0.0037351454374236347,-106.0,173.48,-51.8,0.8260500032084815,-2.3906857453977155,-5.227016782110031
1D32,B_PA2_to_C2,17,-94.7755246978455,146.8675188399196,-80.39319692783319,-104.84,174.18,-51.8,0.5144503972993866,-94.1754,140.287,-46.3629,0.5654798560142681,0.5613029470364482,0.004176908977819856,-104.84,174.18,-51.8,0.8214726357733275,-2.506431605212,-5.347340009359469
1D32,B_PA2_to_C2,18,-93.78488196301028,147.04010262552612,-80.79975203414823,-103.68,174.88,-51.8,0.5018758708404538,-93.1963,140.6799,-48.056,0.5580968169616021,0.5531945230376368,0.004902293923965211,-103.68,174.88,-51.8,0.9222645875705673,-2.7213754203454696,-5.461491872695699
1D32,B_PA2_to_C2,19,-92.792435537956,147.21124955115144,-81.20249796185014,-102.52,175.56,-51.8,0.48441007691514265,-91.7703,141.9934,-48.6119,0.5511015786450838,0.5454766168102637,0.005624961834820115,-102.52,175.56,-51.8,1.120369722444248,-3.029038365255461,-5.571049682732009
1D32,B_PA2_to_C2,20,-91.79822993559468,147.38097891626882,-81.6014867311795,-101.35,176.24,-51.8,0.4908059786087059,-90.9755,142.7528,-45.9523,0.5441821865717967,0.537985528057113,0.006196658514683713,-101.35,176.24,-51.8,0.8966895405729892,-2.915104857963154,-5.680796357310962
1D32,B_PA2_to_C2,21,-90.80229103355435,147.54929578769315,-81.9967325985091,-100.17,176.91,-51.8,0.48225023830116437,-89.8573,142.8689,-46.8383,0.5374919712137313,0.5307938969305196,0.006698074283211683,-100.17,176.91,-51.8,0.9419906088446455,-3.0678527259158277,-5.788243156991978
1D32,B_PA2_to_C2,22,-89.80462601702506,147.71619055711744,-82.38820952039464,-98.99,177.57,-51.8,0.47776122124599557,-88.6663,144.2543,-48.8109,0.5312245678958927,0.5238617604535598,0.007362807442332872,-98.99,177.57,-51.8,0.9213451149367059,-3.1490838206509233,-5.890119745635013
1D32,B_PA2_to_C2,23,-88.80524149658001,147.88165129826228,-82.77589017906962,-97.81,178.22,-51.8,0.47238109179017973,-87.5754,144.9205,-48.8109,0.5254535695578137,0.517178467054703,0.008275102503110738,-97.81,178.22,-51.8,0.9248368216365955,-3.247451632529914,-5.984995850814117
1D32,B_PA2_to_C2,24,-87.80414478986354,148.0456683441914,-83.15974727592672,-96.62,178.87,-51.8,0.4714934208506469,-86.4315,144.9715,-46.8383,0.5199928586241914,0.5106771863989865,0.009315672225204923,-96.62,178.87,-51.8,0.8504348442545153,-3.263789003622262,-6.075735199288545
1D32,B_PA2_to_C2,25,-86.8013441490417,148.20823110062227,-83.53975553399744,-95.43,179.51,-51.8,0.4663430000634277,-85.2945,146.6909,-45.6335,0.5146396962367641,0.5044059368040098,0.010233759432754319,-95.43,179.51,-51.8,0.8559563956836174,-3.359192498951643,-6.165617143188824
1D32,B_PA2_to_C2,26,-85.79684713155581,148.36932931117394,-83.91588687010773,-94.24,180.14,-51.8,0.4505465504726129,-83.9888,146.3752,-48.056,0.5093321151609342,0.4983555570673942,0.010976558093540022,-94.24,180.14,-51.8,1.0652278374939164,-3.6585083654759716,-6.255661567902852
1D32,B_PA2_to_C2,27,-84.79066219213736,148.52895259434032,-84.28811479164705,-93.04,180.76,-51.8,0.44711114005606817,-82.942,147.1123,-48.3545,0.5042164855738097,0.49253532696116814,0.011681158612641612,-93.04,180.76,-51.8,1.0440310058549926,-3.7249919298417717,-6.3433419639075765
