config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,geometry_echo_max,geometry_x,geometry_y,geometry_z,edm_response,born_response,edge_gtd_response,edm_x,edm_y,edm_z,edm_vs_geometry_dB,geometry_echo_dB_norm,edm_response_dB_norm
2D8x8,B_PA2_to_C2,0,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,0.6766407820127953,-123.2994,160.3348,-51.8809,1.0968775363013692,0.7977291173100867,0.2991484189912825,-123.81,161.25,-51.8,4.1959994526670075,-2.5577721369366375,0.0
2D8x8,B_PA2_to_C2,1,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,0.6561726383666603,-122.5057,160.9432,-51.8809,1.0409085130197249,0.7809375781147911,0.25997093490493384,-122.74,162.07,-51.8,4.007888871051904,-2.82457319443665,-0.4549116391151165
2D8x8,B_PA2_to_C2,2,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,0.64468682584549,-120.9094,162.1481,-51.8809,0.9397710066419204,0.7649453560579419,0.17482565058397848,-121.66,162.88,-51.8,3.2734649348683402,-2.977959621365238,-1.3427220022272677
2D8x8,B_PA2_to_C2,3,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,0.623528421458594,-120.5482,162.4139,-52.0041,0.8282807339247372,0.7497056182693345,0.07857511565540277,-120.57,163.68,-51.8,2.466426110395731,-3.2678104489696413,-2.4396116543042816
2D8x8,B_PA2_to_C2,4,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,0.6130201442554366,-118.5071,164.3666,-53.3791,0.7379774621102888,0.7349544426634853,0.0030230194468035348,-119.48,164.48,-51.8,1.6113670535086224,-3.415440612275693,-3.442300874497441
2D8x8,B_PA2_to_C2,5,-106.5248704079047,144.69156262453677,-75.23605239698662,-118.39,165.27,-51.8,0.6128638441373468,-118.5071,164.3666,-53.3791,0.7673999781674834,0.720811287481886,0.04658869068559739,-118.39,165.27,-51.8,1.9531556314704144,-3.41765551286393,-3.1027271971238846
2D8x8,B_PA2_to_C2,6,-105.55560598576687,144.8800661623952,-75.684866540274,-117.29,166.06,-51.8,0.6054826279508363,-117.2087,164.9596,-52.7159,0.7677686916466304,0.7071920846098171,0.06057660703681339,-117.29,166.06,-51.8,2.0625742222683483,-3.522901787339245,-3.0985548808012657
2D8x8,B_PA2_to_C2,7,-104.58453988214106,145.06729927392988,-76.1303048784166,-116.18,166.83,-51.8,0.580891222765825,-116.4743,166.3501,-53.9487,0.7443395846038583,0.6943204928402897,0.050019091763568606,-116.18,166.83,-51.8,2.1535260278167345,-3.883039244320889,-3.367740532234525
2D8x8,B_PA2_to_C2,8,-103.61167478761368,145.25325172348178,-76.57234104120653,-115.07,167.6,-51.8,0.577173284986839,-114.8636,166.4901,-52.0041,0.7083652037885648,0.6818417317188614,0.026523472069703416,-115.07,167.6,-51.8,1.7790199707560628,-3.9388111084366546,-3.798018453410961
2D8x8,B_PA2_to_C2,9,-102.63701375124135,145.4379140468565,-77.01094843943008,-113.95,168.36,-51.8,0.5773124182065467,-113.7626,167.3591,-52.7159,0.6708273012511375,0.6699214941476993,0.0009058071034382118,-113.95,168.36,-51.8,1.303996594471706,-3.9367175428015377,-4.2709482640602
