condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_amplitude,edm_response,beam_dB,edm_response_dB
B_PA2_to_C2,0,-101.06726394213628,127.25995023257298,-92.69688896,-123.81,161.25,-51.8,0.3465782896203845,0.3465782896203845,0.0,0.0
B_PA2_to_C2,1,-100.07751745712665,127.90456797971204,-92.79835192,-122.74,162.07,-51.8,0.34572099836124415,0.34572099836124415,-0.021511913127844118,-0.021511913127844118
B_PA2_to_C2,2,-99.08546622281108,128.54498107697844,-92.89139934,-121.66,162.88,-51.8,0.34493849038639124,0.34493849038639124,-0.041193915415404625,-0.041193915415404625
B_PA2_to_C2,3,-98.09102665230505,129.1811748035131,-92.97612393999998,-120.57,163.68,-51.8,0.3442292124841355,0.3442292124841355,-0.05907261672778079,-0.05907261672778079
B_PA2_to_C2,4,-97.09459468724684,129.81129349959517,-93.06773051,-119.48,164.48,-51.8,0.343465669243141,0.343465669243141,-0.07836040038479608,-0.07836040038479608
B_PA2_to_C2,5,-96.10121291813448,130.43305080786894,-93.15701946,-118.39,165.27,-51.8,0.3427246266739059,0.3427246266739059,-0.09712084195341107,-0.09712084195341107
B_PA2_to_C2,6,-95.10038270872526,131.052720776527,-93.24742108,-117.29,166.06,-51.8,0.3419774319700622,0.3419774319700622,-0.1160781482155154,-0.1160781482155154
B_PA2_to_C2,7,-94.10196282564084,131.66590235193462,-93.32051889,-116.18,166.83,-51.8,0.34137568030922905,0.34137568030922905,-0.13137550992382377,-0.13137550992382377
B_PA2_to_C2,8,-93.10156424688412,132.27287594314078,-93.40069547,-115.07,167.6,-51.8,0.34071818605051113,0.34071818605051113,-0.14812078390839345,-0.14812078390839345
B_PA2_to_C2,9,-92.09851964585609,132.87549962758467,-93.47297638,-113.95,168.36,-51.8,0.3401276085374314,0.3401276085374314,-0.16318937191659938,-0.16318937191659938
B_PA2_to_C2,10,-91.0935254159968,133.47180084380142,-93.55246616,-112.83,169.12,-51.8,0.3394804015061199,0.3394804015061199,-0.1797329395712295,-0.1797329395712295
