config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_sum,beam_mean,beam_max,beam_db,beam_percent,geometry_echo_percent,edm_echo_percent,edm_minus_geometry_db,amplitude_percent,amplitude_db,depth_mm,scan_position_mm
1D16,B_PA2_to_C2,0,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,4.478622120205992,0.2799138825128745,0.8442311793962731,-9.624382474619255,33.02028947867821,37.674587617799205,47.35087844371811,1.9855906617213797,47.35087844371811,-6.493439192888651,35.0,0.0
1D16,B_PA2_to_C2,1,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,4.5807698927057885,0.2862981182941118,0.8447248375199261,-9.428501364766692,33.77341151644242,37.887091939666696,47.7841934434705,2.0158597604689805,47.7841934434705,-6.414314802294129,35.0,1.0101010101010102
1D16,B_PA2_to_C2,2,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,4.68816640832416,0.29301040052026,0.8451973920497624,-9.227210515379326,34.56523184410983,38.09938228769529,48.22866269027465,2.0477457061355095,48.22866269027465,-6.333895605139545,35.0,2.0202020202020203
1D16,B_PA2_to_C2,3,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,4.797979718449028,0.29987373240306425,0.8456308705019902,-9.026102733576044,35.3748708785297,38.311244903499606,48.67796023364759,2.080122143887605,48.67796023364759,-6.253352568507148,35.0,3.0303030303030303
1D16,B_PA2_to_C2,4,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,4.909727556412818,0.30685797227580114,0.8460233062737256,-8.826123019292897,36.19877293124654,38.52246645938435,49.13083805651091,2.1128017306810514,49.13083805651091,-6.172916555197309,35.0,4.040404040404041
1D16,B_PA2_to_C2,5,-106.5248704079047,144.69156262453677,-75.23605239698662,-118.39,165.27,-51.8,5.021919831290959,0.31386998945568495,0.8463741077037527,-8.629875380934783,37.02595175864385,38.73283427314721,49.58387283573945,2.145223349341345,49.58387283573945,-6.093191098155649,35.0,5.05050505050505
1D16,B_PA2_to_C2,6,-105.55560598576687,144.8800661623952,-75.684866540274,-117.29,166.06,-51.8,5.13813070083449,0.32113316880215564,0.8467028271917052,-8.431167942029013,37.882759153843296,38.94213652223188,50.044584693780045,2.178746290619938,50.044584693780045,-6.012858209787275,35.0,6.0606060606060606
1D16,B_PA2_to_C2,7,-104.58453988214106,145.06729927392988,-76.1303048784166,-116.18,166.83,-51.8,5.255591550613239,0.32847447191332746,0.8470027912398002,-8.234838775122384,38.74878248825389,39.150162457015306,50.50679360166074,2.212324597612061,50.50679360166074,-5.933004031576941,35.0,7.07070707070707
1D16,B_PA2_to_C2,8,-103.61167478761368,145.25325172348178,-76.57234104120653,-115.07,167.6,-51.8,5.375011820010132,0.3359382387506332,0.8472758933473094,-8.039682417520517,39.629252364762635,39.35670261301476,50.97183713005868,2.2462316311380905,50.97183713005868,-5.853394265220669,35.0,8.080808080808081
1D16,B_PA2_to_C2,9,-102.63701375124135,145.4379140468565,-77.01094843943008,-113.95,168.36,-51.8,5.497297696440993,0.3435811060275621,0.8475296668488145,-7.844285769092809,40.530849983522046,39.561549021800815,51.441481987145785,2.2808036764936377,51.441481987145785,-5.773730564674933,35.0,9.090909090909092
1D16,B_PA2_to_C2,10,-101.6605600506468,145.62127561992435,-77.4461008038966,-112.83,169.12,-51.8,5.621551407840231,0.35134696299001444,0.8477610020746205,-7.650147159248513,41.446956189645604,39.764495420403904,51.91360225072156,2.315713787166284,51.91360225072156,-5.694376693341181,35.0,10.1010101010101
1D16,B_PA2_to_C2,11,-100.68231730915193,145.80332558276277,-77.877772044352,-111.7,169.86,-51.8,5.747267450003284,0.35920421562520527,0.8479738109584924,-7.458042738813697,42.37384396738623,39.96533745900368,52.38692484531625,2.3507884269308272,52.38692484531625,-5.615541884794659,35.0,11.11111111111111
1D16,B_PA2_to_C2,12,-99.70228929415876,145.98405451638737,-78.30593509369717,-110.57,170.6,-51.8,5.874931941595136,0.367183246349696,0.8481682467621936,-7.267214092754433,43.31509740546761,40.16387290669191,52.862325146595566,2.3862135499228967,52.862325146595566,-5.537074767284133,35.0,12.121212121212121
1D16,B_PA2_to_C2,13,-98.7204801590521,146.16345228221533,-78.73056335422048,-109.43,171.33,-51.8,6.005720428100018,0.3753575267562511,0.8483499853813804,-7.07596865975807,44.279383645511174,40.359901855101896,53.34217491298081,2.422412353377256,53.34217491298081,-5.458585617148625,35.0,13.131313131313133
1D16,B_PA2_to_C2,14,-97.73689414441262,146.34150742262747,-79.15163026818743,-108.29,172.06,-51.8,6.138430455411257,0.38365190346320355,0.848516016882073,-6.886124091726381,45.257837152175604,40.553226919699256,53.82371619926916,2.4589652409736473,53.82371619926916,-5.380526403047243,35.0,14.14141414141414
1D16,B_PA2_to_C2,15,-96.75153606554488,146.5182102967413,-79.56910911524014,-107.15,172.77,-51.8,6.2697568019101135,0.3918598001193821,0.8486640643028196,-6.702256984654097,46.22608896292895,40.74365343853142,54.29965693383592,2.4947423319882858,54.29965693383592,-5.304058285649454,35.0,15.151515151515152
1D16,B_PA2_to_C2,16,-95.76441098545337,146.6935506411538,-79.98297329248382,-106.0,173.48,-51.8,6.405884535379264,0.400367783461204,0.8488047627641674,-6.5156887633763505,47.229740765778736,40.930989668235675,54.783217966129385,2.5319058713758706,54.783217966129385,-5.227049217513276,35.0,16.161616161616163
1D16,B_PA2_to_C2,17,-94.7755246978455,146.8675188399196,-80.39319692783319,-104.84,174.18,-51.8,6.545338946449857,0.4090836841531161,0.848936562704266,-6.328628067181014,48.257919723287614,41.11504697710851,55.27108265771369,2.5699436175182044,55.27108265771369,-5.150040566274496,35.0,17.17171717171717
1D16,B_PA2_to_C2,18,-93.78488196301028,147.04010262552612,-80.79975203414823,-103.68,174.88,-51.8,6.6868728948987926,0.41792955593117453,0.8490571719195209,-6.142809527295673,49.30143083527872,41.29564003504178,55.76043818582623,2.608439527603167,55.76043818582623,-5.073476441049344,35.0,18.181818181818183
1D16,B_PA2_to_C2,19,-92.792435537956,147.21124955115144,-81.20249796185014,-102.52,175.56,-51.8,6.826919333530544,0.426682458345659,0.8491648070027796,-5.962775464457261,50.33397473381726,41.47258700013437,56.2434732322596,2.646220103585875,56.2434732322596,-4.998557358971947,35.0,19.19191919191919
1D16,B_PA2_to_C2,20,-91.79822993559468,147.38097891626882,-81.6014867311795,-101.35,176.24,-51.8,6.971637538861447,0.43572734617884046,0.849266469068126,-5.780574896155647,51.40096295130979,41.64570970179155,56.73340448500451,2.685371564391197,56.73340448500451,-4.9232230860873925,35.0,20.2020202020202
1D16,B_PA2_to_C2,21,-90.80229103355435,147.54929578769315,-81.9967325985091,-100.17,176.91,-51.8,7.119686017356642,0.44498037608479013,0.8493612779661577,-5.598054062173478,52.492504833071486,41.81483382012775,57.227260242948205,2.725451587701323,57.227260242948205,-4.847940909143497,35.0,21.21212121212121
1D16,B_PA2_to_C2,22,-89.80462601702506,147.71619055711744,-82.38820952039464,-98.99,177.57,-51.8,7.267640971799883,0.4542275607374927,0.8494463237122002,-5.419401597826474,53.58335717434821,41.97978906149187,57.71758831926353,2.765358482943532,57.71758831926353,-4.77383647655964,35.0,22.22222222222222
1D16,B_PA2_to_C2,23,-88.80524149658001,147.88165129826228,-82.77589017906962,-97.81,178.22,-51.8,7.415358174137453,0.4634598858835908,0.8495225326232522,-5.244628229804333,54.67245660074561,42.140409329938485,58.204041799198826,2.8050878825639676,58.204041799198826,-4.700937121386822,35.0,23.232323232323232
1D16,B_PA2_to_C2,24,-87.80414478986354,148.0456683441914,-83.15974727592672,-96.62,178.87,-51.8,7.568073473338883,0.4730045920836802,0.8495940258602608,-5.067564096397246,55.79840633530867,42.29653289447246,58.69791896451524,2.846358704630461,58.69791896451524,-4.627545913122165,35.0,24.242424242424242
1D16,B_PA2_to_C2,25,-86.8013441490417,148.20823110062227,-83.53975553399744,-95.43,179.51,-51.8,7.72038187938627,0.4825238674616419,0.849657577665704,-4.894495235741166,56.92135610037825,42.44800255189837,59.187553245442494,2.887462565878385,59.187553245442494,-4.555392259176293,35.0,25.252525252525253
1D16,B_PA2_to_C2,26,-85.79684713155581,148.36932931117394,-83.91588687010773,-94.24,180.14,-51.8,7.8721392243550365,0.4920087015221898,0.849713900341935,-4.725415564214756,58.040242964884214,42.594665785110685,59.6726698319626,2.9284050845561254,59.6726698319626,-4.484490616555289,35.0,26.262626262626267
1D16,B_PA2_to_C2,27,-84.79066219213736,148.52895259434032,-84.28811479164705,-93.04,180.76,-51.8,8.027131371990649,0.5016957107494155,0.8497655426255115,-4.5560634762223104,59.18297960228879,42.73637491666569,60.161512869365865,2.970421363474946,60.161512869365865,-4.413625023276337,35.0,27.27272727272727
1D16,B_PA2_to_C2,28,-83.78279833852454,148.68709051038687,-84.65641348019483,-91.83,181.38,-51.8,8.186974602793924,0.5116859126746203,0.8498127918869813,-4.384802027227385,60.3614826352905,42.87298725748007,60.6576700425954,3.0140395897997863,60.6576700425954,-4.342285512909923,35.0,28.28282828282828
1D16,B_PA2_to_C2,29,-82.7732644843618,148.84373269838642,-85.0207559726652,-90.63,181.98,-51.8,8.340385946510658,0.5212741216569161,0.8498517664391544,-4.223547933598238,61.49256421415041,43.00436525050676,61.13689434609215,3.0558166338317343,61.13689434609215,-4.273932529932296,35.0,29.292929292929294
1D16,B_PA2_to_C2,30,-81.76207001190437,148.99886944655137,-85.38111544941161,-89.40999999999998,182.58,-51.8,8.502522142613028,0.5314076339133142,0.8498881354295553,-4.056315457875307,62.68797297751038,43.13037660924322,61.63209577580017,3.1004737125940403,61.63209577580017,-4.203861280015759,35.0,30.303030303030305
